symbol,market,name,industry,priority,tags,notes
000657.SZ,CN,中钨高新,有色金属,1,"[""有色金属""]",
002378.SZ,CN,章源钨业,有色金属,1,"[""有色金属""]",
000962.SZ,CN,东方钽业,有色金属,1,"[""有色金属""]",
000960.SZ,CN,锡业股份,有色金属,1,"[""有色金属""]",
600392.SH,CN,盛和资源,有色金属,1,"[""有色金属""]",
601138.SH,CN,工业富联,电子,1,"[""电子""]",
000063.SZ,CN,中兴通讯,通信,1,"[""通信""]",
300502.SZ,CN,新易盛,通信,1,"[""通信""]",
603986.SH,CN,兆易创新,半导体,1,"[""半导体""]",
603683.SH,CN,晶华新材,新材料,2,"[""新材料""]",
000510.SZ,CN,新金路,化工,2,"[""化工""]",
600160.SH,CN,巨化股份,化工,2,"[""化工""]",
688766.SH,CN,普冉股份,半导体,2,"[""半导体""]",
603893.SH,CN,瑞芯微,半导体,2,"[""半导体""]",
688726.SH,CN,拉普拉斯,电力设备,2,"[""电力设备""]",
688353.SH,CN,华盛锂电,电力设备,2,"[""电力设备""]",
688032.SH,CN,禾迈股份,电力设备,2,"[""电力设备""]",
002050.SZ,CN,三花智控,机械设备,2,"[""机械设备""]",
300757.SZ,CN,罗博特科,机械设备,2,"[""机械设备""]",
300818.SZ,CN,耐普矿机,机械设备,2,"[""机械设备""]",
601318.SH,CN,中国平安,非银金融,2,"[""非银金融""]",
688543.SH,CN,国科军工,国防军工,3,"[""国防军工""]",
600590.SH,CN,泰豪科技,国防军工,3,"[""国防军工""]",
603716.SH,CN,塞力医疗,医药生物,3,"[""医药生物""]",
002426.SZ,CN,胜利精密,电子,3,"[""电子""]",
002091.SZ,CN,国泰集团,化工,3,"[""化工""]",
NVDA,US,NVIDIA,technology,1,"[""technology""]",
MSFT,US,Microsoft,technology,1,"[""technology""]",
GOOGL,US,Alphabet,technology,1,"[""technology""]",
TSLA,US,Tesla,automotive,1,"[""automotive""]",
MU,US,Micron Technology,technology,1,"[""technology""]",
BABA,US,Alibaba,consumer_discretionary,1,"[""consumer_discretionary""]",
PDD,US,PDD Holdings,consumer_discretionary,1,"[""consumer_discretionary""]",
NFLX,US,Netflix,communication_services,2,"[""communication_services""]",
ADBE,US,Adobe,technology,2,"[""technology""]",
DUOL,US,Duolingo,technology,2,"[""technology""]",
MSTR,US,MicroStrategy,technology,2,"[""technology""]",
INTC,US,Intel,technology,2,"[""technology""]",
UNH,US,UnitedHealth Group,healthcare,2,"[""healthcare""]",
OXY,US,Occidental Petroleum,energy,2,"[""energy""]",
JD,US,JD.com,consumer_discretionary,2,"[""consumer_discretionary""]",
BIDU,US,Baidu,technology,2,"[""technology""]",
LI,US,Li Auto,automotive,2,"[""automotive""]",
AAOI,US,Applied Optoelectronics,technology,3,"[""technology""]",
SMMT,US,Summit Therapeutics,healthcare,3,"[""healthcare""]",
HIMS,US,Hims & Hers Health,healthcare,3,"[""healthcare""]",
LMND,US,Lemonade,financials,3,"[""financials""]",
ASTS,US,AST SpaceMobile,communication_services,3,"[""communication_services""]",
